ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
17011448,"01/17/2017, 7:05:00 pm","07/19/2017, 5:00:48 pm",CARROLLTON,GA,30117,THOMAS HOMES,CRIMINAL TRESPASS (NON FVA),Property Crime ,CRIMINAL TRESPASS (NON FVA)
17011358,"01/16/2017, 7:00:00 pm","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,400 Block HAYS MILL ROAD,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE,Property Crime ,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE
17011407,"01/17/2017, 6:21:00 am","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,400 Block NORTHSIDE DRIVE,DISORDERLY CONDUCT,Quality of Life,DISORDERLY CONDUCT
17011402,"01/17/2017, 5:00:00 am","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,300 Block COLUMBIA DRIVE,SIMPLE BATTERY,Assault ,SIMPLE BATTERY
17011378,"01/17/2017, 12:30:00 am","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,BLEDSOE STREET,BATTERY,Assault ,BATTERY
17011365,"01/16/2017, 4:14:00 pm","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,NEW HOPE CHURCH ROAD,THEFT BY RECEIVING STOLEN PROPERTY,Theft,THEFT BY RECEIVING STOLEN PROPERTY
17011344,"01/15/2017, 8:00:00 am","07/17/2017, 5:01:37 pm",CARROLLTON,GA,30117,100 Block BARNES STREET,AGGRAVATED BATTERY,Assault ,AGGRAVATED BATTERY
17011328,"01/14/2017, 7:00:00 pm","07/16/2017, 5:00:53 pm",CARROLLTON,GA,30116,100 Block KILGORE ROAD,THEFT BY TAKING,Theft,THEFT BY TAKING
17011309,"01/16/2017, 5:19:00 am","07/17/2017, 5:01:37 pm",CARROLLTON,GA,30117,BANKHEAD HIGHWAY @ CORPORATE D,SPEEDING IN EXCESS OF MAXIMUM LIMITS (STATE SPEED AND ZONE LIMITS),Traffic,SPEEDING IN EXCESS OF MAXIMUM LIMITS (STATE SPEED AND ZONE LIMITS)
17011287,"01/15/2017, 6:00:00 pm","07/17/2017, 5:01:37 pm",CARROLLTON,GA,30117,300 Block MANDEVILLE AVENUE,THEFT BY TAKING,Theft,THEFT BY TAKING
17011285,"01/15/2017, 11:45:00 pm","07/17/2017, 5:01:37 pm",CARROLLTON,GA,30117,100 Block CARROLL CIRCLE,RECKLESS CONDUCT,Traffic,RECKLESS CONDUCT
